prof_id,title
Corporate Social Responsibility & Corporate Communications Project Manager,Corporate Social Responsibility & Corporate Communications Project Manager
Business Development Manager,Business Development Manager
Näringspolitiskt ansvarig,Näringspolitiskt ansvarig
COO,COO
Research Assistant,Research Assistant
Business analyst blockchain,Business analyst blockchain
Information Technology Business Partner,Information Technology Business Partner
Kundansvarig Konsultchef Tech/Engineering,Kundansvarig Konsultchef Tech/Engineering
Junior SEO Specialist,Junior SEO Specialist
Chief Operating Officer,Chief Operating Officer
3D visualization project manager,3D visualization project manager
Product Owner (Power Platform),Product Owner (Power Platform)
Fondatrice & Dirigeante de NAECO,Fondatrice & Dirigeante de NAECO
Director & owner,Director & owner
Founder and CEO,Founder and CEO
Prozessbegleiterin/Gestalterin von ganzheitlichen Erfahrungs- & Lernräumen /Community Building,Prozessbegleiterin/Gestalterin von ganzheitlichen Erfahrungs- & Lernräumen /Community Building
Lead Learning Designer,Lead Learning Designer
CPO & Co-founder,CPO & Co-founder
Co-Director & Facilitator,Co-Director & Facilitator
Changemakers for the Planet 2024,Changemakers for the Planet 2024
Member • Changemakers for The Planet '24 Europe Cohort,Member • Changemakers for The Planet '24 Europe Cohort
Sales and Partnerships,Sales and Partnerships
CEO & co-Founder,CEO & co-Founder
Chairperson,Chairperson
Chief Executive Officer & Founder,Chief Executive Officer & Founder
"Vice President - Strategy, Digital and Innovation (SDI) / Lead Compliance Officer","Vice President - Strategy, Digital and Innovation (SDI) / Lead Compliance Officer"
Change & Communication Lead,Change & Communication Lead
Strategic Partner Manager,Strategic Partner Manager
Founder and owner,Founder and owner
Geschäftsleitung,Geschäftsleitung
Research Engineer,Research Engineer
Head of Marketing & Communications,Head of Marketing & Communications
"Co-founder, Well-being Facilitator & Trainer","Co-founder, Well-being Facilitator & Trainer"
Founder / Project Lead / Finance Officer,Founder / Project Lead / Finance Officer
Board Member,Board Member
Vice President Strategy,Vice President Strategy
Sustainability Project,Sustainability Project
Life Science Consultant,Life Science Consultant
Product Manager,Product Manager
Change Management Consultant,Change Management Consultant
Enterprise Business Development Representative,Enterprise Business Development Representative
Technical EAM Specialist,Technical EAM Specialist
Customer Success Intern,Customer Success Intern
Assisterande Orkesterbibliotekarie,Assisterande Orkesterbibliotekarie
Head of office,Head of office
Environmental Consultant,Environmental Consultant
IT Consultant,IT Consultant
Product Growth Manager,Product Growth Manager
Energieberater,Energieberater
CEO Digital Agency at Great IT,CEO Digital Agency at Great IT
Account Executive,Account Executive
Strategic Communications Manager,Strategic Communications Manager
Miljøkonsulent,Miljøkonsulent
Manager Sales & Marketing,Manager Sales & Marketing
"Founder, Principal Consultant","Founder, Principal Consultant"
Co-founder and Managing Director,Co-founder and Managing Director
Trainee Business Analyst,Trainee Business Analyst
Co-Founder & Co-Managing Director,Co-Founder & Co-Managing Director
"Project Manager, Sweden Secure Tech Hub - Sweden ICT","Project Manager, Sweden Secure Tech Hub - Sweden ICT"
Head of Communications,Head of Communications
Dozent Brau- und Getränketechnologie,Dozent Brau- und Getränketechnologie
Co-founder & Head of Communication and Partnerships,Co-founder & Head of Communication and Partnerships
Founder & Coach,Founder & Coach
Impact Investment Fund Co-founder & General Partner,Impact Investment Fund Co-founder & General Partner
Founder Associate,Founder Associate
Community Manager,Community Manager
CEO Betawaves,CEO Betawaves
Näringslivsdirektör,Näringslivsdirektör
Gymnasielärare Och Lite Annat,Gymnasielärare Och Lite Annat
Project Manager - Nordic Marketing,Project Manager - Nordic Marketing
Integration Consultant,Integration Consultant
Chefredaktör,Chefredaktör
Enterprise Business Development (UKI),Enterprise Business Development (UKI)
VD/Säljare,VD/Säljare
Customer Engagement Solutions Manager,Customer Engagement Solutions Manager
Business Development Associate,Business Development Associate
Interim & Change Management,Interim & Change Management
Sales Manager,Sales Manager
Owner and strategist,Owner and strategist
Mässansvarig,Mässansvarig
Executive Board Member,Executive Board Member
Water Engineer,Water Engineer
Branchansvarig/Trade Association Manager-Management konsult/Consultant,Branchansvarig/Trade Association Manager-Management konsult/Consultant
Regionsansvarig/VD Frontit Mälardalen,Regionsansvarig/VD Frontit Mälardalen
Business Development Manager Infrastructure på AVEVA Select Scandinavia,Business Development Manager Infrastructure på AVEVA Select Scandinavia
Program Coordinator,Program Coordinator
Senior Officer for European Affairs and Stakeholder engagement,Senior Officer for European Affairs and Stakeholder engagement
Life Transformational Coach - Buy Yourself,Life Transformational Coach - Buy Yourself
Ekonom,Ekonom
HR & Recruitment administrator,HR & Recruitment administrator
Professor of Practice,Professor of Practice
Fellow,Fellow
Owner / Chairman,Owner / Chairman
Senior Coating Specialist,Senior Coating Specialist
VD och Grundare,VD och Grundare
Sälj- och Kommunikationsansvarig,Sälj- och Kommunikationsansvarig
Product area manager Hazardous Waste,Product area manager Hazardous Waste
Project Coordinator,Project Coordinator
"Manager WIN Water,","Manager WIN Water,"
Project team member -Volunteer,Project team member -Volunteer
Chief Marketing Officer,Chief Marketing Officer
Merchandising Analyst,Merchandising Analyst
Retail Feature Architect,Retail Feature Architect
Assistant Consultant ESG & Sustainability,Assistant Consultant ESG & Sustainability
Junior project Analyst,Junior project Analyst
Graduate Intern - Aviation Project Management,Graduate Intern - Aviation Project Management
Community Counsellor,Community Counsellor
Communication Officer,Communication Officer
Independent Tutor,Independent Tutor
Medewerker,Medewerker
Working Student in Human Resource Projects,Working Student in Human Resource Projects
Resident Assistant,Resident Assistant
Clinic Manager,Clinic Manager
Projektkoordinator,Projektkoordinator
Self-Published Author,Self-Published Author
CTO,CTO
Global Graduate in Production Engineering,Global Graduate in Production Engineering
Utbildare,Utbildare
VIP service staff,VIP service staff
Sustainability & CSR Intern,Sustainability & CSR Intern
"Volunteer, ABC Board","Volunteer, ABC Board"
Working Student | Sustainability core team,Working Student | Sustainability core team
Research Associate - Page Executive,Research Associate - Page Executive
Product Owner/ Personal trainer & Nutrition Coach,Product Owner/ Personal trainer & Nutrition Coach
Sales Executive,Sales Executive
Research and Communications Associate,Research and Communications Associate
Community-Manager,Community-Manager
Marketing Communications Manager,Marketing Communications Manager
Handläggare,Handläggare
Sales Director - Ozone Application Specialist,Sales Director - Ozone Application Specialist
Senior power systems consultant,Senior power systems consultant
Senior Advisor to Government & Private Sector,Senior Advisor to Government & Private Sector
Product Manager and Electronic Engineer,Product Manager and Electronic Engineer
Event Coordinator,Event Coordinator
Associate Professor Development Studies,Associate Professor Development Studies
"Continuous Improvement Engineer, R&D Engineering Excellence @ Cavendish Hydrogen","Continuous Improvement Engineer, R&D Engineering Excellence @ Cavendish Hydrogen"
Senior UX Designer,Senior UX Designer
Head of Hardware,Head of Hardware
Sustainability Communications Consultant and Strategist,Sustainability Communications Consultant and Strategist
Quality Assurance Specialist,Quality Assurance Specialist
Manager - Payment & Distribution (Digital Financial Services),Manager - Payment & Distribution (Digital Financial Services)
Better Homes Leader · Product Development Platforms · IKEA of Sweden,Better Homes Leader · Product Development Platforms · IKEA of Sweden
Klimaschutzmanager,Klimaschutzmanager
Senior Innovation Strategy Manager,Senior Innovation Strategy Manager
CPO,CPO
Enterprise Sales Development Representative,Enterprise Sales Development Representative
Finance Assistant,Finance Assistant
Country Manager Germany,Country Manager Germany
Product Marketing Manager,Product Marketing Manager
Investment Analyst,Investment Analyst
Venture Partner,Venture Partner
VP Data Analytics,VP Data Analytics
Operations & Customer Experience Lead,Operations & Customer Experience Lead
Partner,Partner
Professor of Evolutionary Biology,Professor of Evolutionary Biology
General Partner,General Partner
Head of Design and Engagement,Head of Design and Engagement
Head of Membership and Talent,Head of Membership and Talent
Principal,Principal
Scrum Master,Scrum Master
Innovation Leader,Innovation Leader
Kommunikatör & Eventkoordinator,Kommunikatör & Eventkoordinator
Praktikantin Customer Relations und Marketing,Praktikantin Customer Relations und Marketing
"Community & Business Developer, International collaborations","Community & Business Developer, International collaborations"
Communications and Design Consultant,Communications and Design Consultant
Clearance Broker Associate,Clearance Broker Associate
COO Brightsales Consulting,COO Brightsales Consulting
Sales And Marketing Specialist,Sales And Marketing Specialist
Biträdande jurist / Associate,Biträdande jurist / Associate
Chief Operations Officer,Chief Operations Officer
Medelm,Medelm
Innovation Advisor,Innovation Advisor
Software Engineer,Software Engineer
Engagement Manager,Engagement Manager
Venture Associate,Venture Associate
Projektmanagerin Mieterstrom,Projektmanagerin Mieterstrom
Area Sales Manager,Area Sales Manager
Regional Vice President,Regional Vice President
Head of franschise,Head of franschise
PUD Supervisor,PUD Supervisor
Co-Founder and CEO,Co-Founder and CEO
Head of Skåne Ventures & Fast Track Capital,Head of Skåne Ventures & Fast Track Capital
Working Student Neue Geschäfte - Dezentrale Energielösungen,Working Student Neue Geschäfte - Dezentrale Energielösungen
Researcher,Researcher
Postdoctoral Researcher,Postdoctoral Researcher
Account Manager,Account Manager
Back End Developer,Back End Developer
Inhaberin,Inhaberin
Co-founder & CEO,Co-founder & CEO
Senior Information Security Engineer,Senior Information Security Engineer
Chefredakteurin,Chefredakteurin
Regional Project Manager,Regional Project Manager
Grundare och Ägare,Grundare och Ägare
Head of Development (Logistics & Supply Chain),Head of Development (Logistics & Supply Chain)
Head of Investor Relations,Head of Investor Relations
"Sustainable Commuting Manager, KINTO Join","Sustainable Commuting Manager, KINTO Join"
Sustainability Team,Sustainability Team
Account executive - Corporate Growth : Nordic Market Expansion 🇫🇮 🇸🇪 🇩🇰 🇳🇴,Account executive - Corporate Growth : Nordic Market Expansion 🇫🇮 🇸🇪 🇩🇰 🇳🇴
Fullstack Software Developer,Fullstack Software Developer
Sales & banqueting coordinator,Sales & banqueting coordinator
Senior Recruitment Consultant,Senior Recruitment Consultant
Strukturwandelmanager,Strukturwandelmanager
Rechtsreferendar,Rechtsreferendar
Produktspezialist,Produktspezialist
Junior Strategy Consultant,Junior Strategy Consultant
Programme Lead,Programme Lead
Founder and Director,Founder and Director
Företagsrådgivare,Företagsrådgivare
IT CAD Engineer,IT CAD Engineer
Assistant of Deputy Prime Minister,Assistant of Deputy Prime Minister
CRM intern,CRM intern
Vertriebsmanager,Vertriebsmanager
Territory Sales Manager Chomerics,Territory Sales Manager Chomerics
Lead Startup Offer,Lead Startup Offer
Technical Sales Manager,Technical Sales Manager
Vice President Sourcing,Vice President Sourcing
Nachwuchskräfteprogramm,Nachwuchskräfteprogramm
Head of Innovation,Head of Innovation
Automotive & Battery Leader Central & Eastern Europe,Automotive & Battery Leader Central & Eastern Europe
Projekt Einkäuferin und Category Buyer,Projekt Einkäuferin und Category Buyer
Technical Solution Director,Technical Solution Director
Business Developer,Business Developer
Investment Desk Executive - German FDI Attraction Office,Investment Desk Executive - German FDI Attraction Office
General Manager,General Manager
Event Manager,Event Manager
Regional Sales Manager - Central / Eastern Europe,Regional Sales Manager - Central / Eastern Europe
Business Manager | ELV,Business Manager | ELV
SAP Application Consultant,SAP Application Consultant
Managing Director,Managing Director
Business Development,Business Development
Logistikkoordinator,Logistikkoordinator
PR Consultant,PR Consultant
"Co-Founder of ""Ödet""","Co-Founder of ""Ödet"""
Junior Test Engineer,Junior Test Engineer
Working Student Consulting,Working Student Consulting
Produktmanagerin Energielösungen,Produktmanagerin Energielösungen
Kellnerin,Kellnerin
Butiksinnehavare,Butiksinnehavare
Ingeniero,Ingeniero
Affärsutvecklare/Projektledare,Affärsutvecklare/Projektledare
Relationship Manager - Startup & Growth Nordea,Relationship Manager - Startup & Growth Nordea
Editorial Content Manager,Editorial Content Manager
Grundare och VD,Grundare och VD
Head of Customer Success,Head of Customer Success
Werkstudentin | Customer Service,Werkstudentin | Customer Service
Doctoral Student,Doctoral Student
Partner Manager | South Node,Partner Manager | South Node
Pension advisor,Pension advisor
Trainee,Trainee
Junior Portfolio Analyst,Junior Portfolio Analyst
Operational Product Owner,Operational Product Owner
Utvecklingssamordnare Studentstaden Malmö,Utvecklingssamordnare Studentstaden Malmö
Opticos Young Professionals Program - Management consultant,Opticos Young Professionals Program - Management consultant
Sustainability Success Consultant,Sustainability Success Consultant
Venture Architect,Venture Architect
Commercial Operations Analyst,Commercial Operations Analyst
Network Advisor / Nätverksrådgivare,Network Advisor / Nätverksrådgivare
Course Coordinator Germany,Course Coordinator Germany
Energi- och klimatrådgivare,Energi- och klimatrådgivare
Experienced Consultant,Experienced Consultant
Affärsutvecklare,Affärsutvecklare
Founding President,Founding President
Områdeschef,Områdeschef
Partnership Marketing Manager,Partnership Marketing Manager
"Asosciate Risk Consultant - Sustainability, Climate and Nature","Asosciate Risk Consultant - Sustainability, Climate and Nature"
Junior Sales Account - Belgium,Junior Sales Account - Belgium
Social Media Strategist,Social Media Strategist
Founder - Product Design and Strategic Marketing,Founder - Product Design and Strategic Marketing
Marknadschef,Marknadschef
Styrelseledamot,Styrelseledamot
Försäkringsrådgivare,Försäkringsrådgivare
Software development and UI/UX consultant,Software development and UI/UX consultant
Event Specialist,Event Specialist
Data Consultant,Data Consultant
Master Thesis Student,Master Thesis Student
Master Thesis,Master Thesis
Ph.D. candidate in business administration: Entrepreneurship and ethics,Ph.D. candidate in business administration: Entrepreneurship and ethics
Senior Digital Change & Transformation Consultant,Senior Digital Change & Transformation Consultant
Visiting Scientist,Visiting Scientist
Nachhaltigkeitsberater,Nachhaltigkeitsberater
Director Supply Chain,Director Supply Chain
Analyst | Project Coordinator,Analyst | Project Coordinator
CRM Manager,CRM Manager
Process Improvement Project Manager,Process Improvement Project Manager
Yoga Teacher,Yoga Teacher
Globale Einkaufsleitung,Globale Einkaufsleitung
Social Media Consultant,Social Media Consultant
Founder/Owner,Founder/Owner
Co-Founder and CPTO,Co-Founder and CPTO
Projektkoordinator Climate-KIC,Projektkoordinator Climate-KIC
Innovation & Portfolio Development Manager,Innovation & Portfolio Development Manager
Sustainability Consultant,Sustainability Consultant
"ESG & Impact Lead, Nordics","ESG & Impact Lead, Nordics"
Freelance UX/UI - designer and project manager,Freelance UX/UI - designer and project manager
Research Associate I,Research Associate I
Co-founder & Strategic Account Executive,Co-founder & Strategic Account Executive
Internship Department of Food System Sciences,Internship Department of Food System Sciences
Head of Growth,Head of Growth
Board Member & Alumni Advisor (Sektionen för Kriminologistudenter),Board Member & Alumni Advisor (Sektionen för Kriminologistudenter)
EU-parlamentariker,EU-parlamentariker
English Language Teacher,English Language Teacher
"Utvecklingssekreterare, strategiska arbetsmarknadsfrågor, stadskontoret","Utvecklingssekreterare, strategiska arbetsmarknadsfrågor, stadskontoret"
Executive Manager,Executive Manager
Innovation Engineer,Innovation Engineer
Entrepreneur,Entrepreneur
Human Resources Associate,Human Resources Associate
Global People & Culture Assistant,Global People & Culture Assistant
Miljöhandläggare,Miljöhandläggare
Webbspecialist,Webbspecialist
Global Mission Team/Brussels Hub Intern,Global Mission Team/Brussels Hub Intern
Senior Credential Advisor,Senior Credential Advisor
Advisor in Economic and Financial Sustainability,Advisor in Economic and Financial Sustainability
Nimway - Sales Development Representative,Nimway - Sales Development Representative
Coordinator Malmö FF in Society,Coordinator Malmö FF in Society
Junior Coordinator,Junior Coordinator
Education for Social Transformation,Education for Social Transformation
Projektmanager,Projektmanager
Store Manager,Store Manager
Unternehmensberater / BWL-Trainer,Unternehmensberater / BWL-Trainer
Project Leader,Project Leader
Kundeservice og Produktionsadministration,Kundeservice og Produktionsadministration
Head of Sales Nordic Countries,Head of Sales Nordic Countries
Managing Director and Board Director,Managing Director and Board Director
Physiotherapist,Physiotherapist
Projektleiterin - Onboarding Kunden Local Supply,Projektleiterin - Onboarding Kunden Local Supply
"Founder, CEO and Management Consultant","Founder, CEO and Management Consultant"
Research intern,Research intern
"Advisor, Global Business Development","Advisor, Global Business Development"
International Coordinator,International Coordinator
Co-Founder and VP Sales & Marketing,Co-Founder and VP Sales & Marketing
"Startup Scout, water and energy","Startup Scout, water and energy"
"ESG and Sustainability Expert, Strategy Department","ESG and Sustainability Expert, Strategy Department"
Affärsområdeschef,Affärsområdeschef
Graphic Designer Art Director Illustrator,Graphic Designer Art Director Illustrator
Project Manager Circle Economy,Project Manager Circle Economy
Customer Success Agent,Customer Success Agent
"Ägare, Grundare, Utbildare och Servicetekniker","Ägare, Grundare, Utbildare och Servicetekniker"
Udviklingsingeniør,Udviklingsingeniør
Head of Product Development,Head of Product Development
Sales Engineer,Sales Engineer
Project & Event Coordinator,Project & Event Coordinator
Partner - Business development & Leap manager,Partner - Business development & Leap manager
"Owner, CEO","Owner, CEO"
Webinar Host,Webinar Host
PHD Researcher,PHD Researcher
Research Scientist,Research Scientist
"Business Development Manager, Innovation and Development","Business Development Manager, Innovation and Development"
Campaign Manager,Campaign Manager
Branch Manager,Branch Manager
"Former Board Member & Vice Chairman - Holmes & Narver JV, an AECOM Legacy JV","Former Board Member & Vice Chairman - Holmes & Narver JV, an AECOM Legacy JV"
Fullstack C# .NET Developer,Fullstack C# .NET Developer
"Pro Vice Chancellor, Collaboration and innovation","Pro Vice Chancellor, Collaboration and innovation"
Владелец предприятия,Владелец предприятия
Praktikant,Praktikant
Co-owner,Co-owner
Applikationsingenieur,Applikationsingenieur
Consultant Product & Systems Engineering,Consultant Product & Systems Engineering
Professor of organisation studies,Professor of organisation studies
Marknadsansvarig,Marknadsansvarig
Global Sales Director,Global Sales Director
Circular Business Designer and Partner,Circular Business Designer and Partner
Asst. Manager-Commercial,Asst. Manager-Commercial
Tester & Scrum Master,Tester & Scrum Master
Associate Professor,Associate Professor
Project Manager and Researcher,Project Manager and Researcher
Sustainability Content Writer,Sustainability Content Writer
Styrande ägare,Styrande ägare
